"Policy","Section","Category","Item","State / Materializable","Mitigations / Comments"
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are authN/authZ properly validated at UI and API, front/back end, before granting access?","Partially verified","Confirmed server-side at the management API for LlmProvider/RestApi updates (JWT + org claim enforced, not just client-side). UI-layer (Publisher/DevPortal) enforcement was not checked in this review."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are proper isolations in place between components (least privilege / blast radius)?","N/A","prompt-template has no independent network/deployment topology of its own — it runs inside gateway-runtime's policy-engine and inherits whatever isolation that component has. Not reviewed at the infra level."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have default credentials been changed; no default superuser/root in use?","No — confirmed finding","The e2e tooling in this repo authenticates to gateway-controller with Authorization: Basic YWRtaW46YWRtaW4= (admin:admin), a literal default credential in active use in the environment exercised for this review. Not confirmed whether production overrides this."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is source code kept private where applicable?","Needs clarification","Source files carry Apache License 2.0 headers, suggesting this is intended as open-source code rather than private/proprietary — confirm the intended posture with the release/product owner."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Was a code review conducted with a security/resiliency focus, and were findings addressed?","Not verifiable from code","This is a PR-history/process record for prompt-template's own commits — needs confirmation from the team, not determinable from the source alone."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Static (SAST) or IaC scanning conducted, and are findings addressed?","Partial","api-platform/.github/workflows/go-scan.yaml runs gosec daily across gateway-controller, policy-engine, gateway-builder, platform-api, and event-gateway-runtime, uploading SARIF to GitHub code scanning. No equivalent SAST workflow was found in the gateway-controllers (policy hub) repo itself, where this policy's actual source lives — coverage of this specific file is unconfirmed."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Software Composition Analysis (SCA) conducted/integrated, and are findings addressed?","Partial","trivy-scan.yaml (OS/library CVEs in built images) and jfrog-scan.yaml (JFrog Xray docker scan) run daily in api-platform across all major images. dependency-validation.yml (present in both repos) checks changed Go deps against an approved allowlist (governance, not CVE-based). No FOSSA; no dedicated Go-module vulnerability scan distinct from image-level scans found. Remediation-tracking status not verified."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Dynamic (DAST) or API scanning conducted on non-prod, and are findings addressed?","Not found","No DAST/ZAP/API-scanning workflow was found in either repo's .github/workflows. Either it runs outside these repos or it is a gap."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are audit logs generated in a standardized format for critical functionality, available to authorized users?","Partial","An audit table + AuditRepo.Record(action, resourceUUID, resourceType, orgUUID, performedBy) fires on LlmProvider/RestApi updates, including changes to prompt-template's own configuration — standardized shape, but minimal (no diff, no payload). Availability to authorized users via a UI/API surface was not checked."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","How long are audit logs retained for?","Not verified","No TTL/cleanup job was found for the audit table in this review; needs confirmation from the data/DB team."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Do audit logs for critical config changes include a diff of old vs new?","No — confirmed","Update handlers fetch the old record only to preserve unrelated fields, then blindly overwrite the configuration column. No diff or version history is persisted, so a change that silently disables or weakens prompt-template leaves no trace of its prior state."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Has a BIA been conducted (MTTD/RPO/RTO, HA, DR, backups, health checks, banners)?","Not covered — needs infra/SRE input","prompt-template has no independent database, deployment topology, or backup surface of its own; this whole section applies to the platform as a whole, not to one mediation policy. A health endpoint (/api/admin/v1/health on gateway-controller) does exist, confirming a health-check mechanism, but HA/DR/backup/banner posture was not reviewed."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are data in transit and at rest encrypted?","Partial","Client-facing gateway traffic runs over TLS (confirmed via the dev stack's https endpoint). At-rest encryption for general application/config data was not verified in this review; this policy itself has no independent storage layer."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is sensitive data (credentials/keys) stored in secret stores like key vaults?","N/A for this policy","prompt-template does not itself handle LLM-provider credentials. Separately confirmed: platform-api has a real secret vault (vault.SecretVault.Encrypt/Decrypt) used for a dedicated Secret resource, with Decrypt scoped to internal gateway use only."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are all inputs and outputs validated? (Syntactic / Semantic)","Partial","Template name syntactically validated via regex (^[a-zA-Z0-9_-]+$); template body only checked non-empty. No semantic validation exists that a template actually contains any [[placeholder]], and no sanitization of client-supplied placeholder values before substitution into the outbound prompt."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Has the implementation followed best-practice guidelines (OWASP/K8s/Vendor)?","Partial","Good: uses plain string replacement (not a template language), so no template-injection-into-code risk, and JSON-escaping is correctly applied before the final marshal so JSON structure can't be broken. Gaps: unsanitized placeholder substitution into LLM prompt content (prompt injection), fail-open defaults, no cap on template-reference amplification, raw error text to clients."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have you ensured personal/sensitive/confidential data is not logged?","Yes, as far as verified","Only one slog.Debug call exists, logging config metadata (template count/names, jsonPath, mode settings) — no request bodies or resolved prompt content are logged anywhere in this file."
"prompt-template","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have users been given proper instructions on secure usage?","No — confirmed issue","The documentation's description of the template:// match pattern doesn't match the actual code (query-required vs query-optional), and no guidance is given on the prompt-injection risk of unsanitized placeholder substitution or the security implications of the default onUnresolvedPlaceholder=keep behavior."
"url-guardrail","Threat Model","Server-Side Request Forgery (SSRF)","The guardrail performs live DNS lookups and/or HTTP HEAD requests, from the gateway's own network position, against any http(s):// URL found in CLIENT-SUPPLIED request content (checkDNS/checkURL). An external caller can embed a URL pointing at an internal-only target (cloud metadata endpoint, internal admin panel, other internal service, loopback/link-local address) in their prompt text, and the gateway will dutifully reach out to it as part of ""validating URL reachability"".","Yes","urlguardrail.go: checkDNS (305-337), checkURL (340-359), invoked on request content extracted from client-supplied messages. Resolve DNS first and validate the resolved IP against a deny-list (private/link-local/loopback/cloud-metadata ranges) rather than trusting the hostname alone (prevents DNS-rebinding bypass); consider disabling live reachability checks against request-side (client-supplied) content, or run these checks from an isolated egress path with no internal network access."
"url-guardrail","Threat Model","Detection Bypass","The URL-extraction regex is case-sensitive with no (?i) flag — a URL using HTTPS://, Http://, or any non-lowercase scheme casing is never matched, so it is silently never extracted or validated on either the request or response path.","Yes","urlguardrail.go:39,55,67 (URLRegex). Add the (?i) case-insensitive flag to the URL-matching regex."
"url-guardrail","Threat Model","Coverage Gap","Default request jsonPath scans only the last message; default response jsonPath scans only the first choice — URLs in earlier conversation turns or subsequent choices are never scanned unless the operator overrides these paths.","Yes","urlguardrail.go:41-42. Same class of gap as pii-masking-regex; closing it requires looping over all messages/choices in the policy itself, not a config change."
"url-guardrail","Threat Model","Denial of Service / Resource Exhaustion","NeedsMoreResponseData's incomplete-URL-detection regex keeps buffering for an unbounded run of non-whitespace characters after https:// with no cap, so a malformed or adversarial streaming response could force unbounded buffering. Separately, URLs are validated sequentially with no cap on the number extracted per payload, and no configured maximum on the per-URL timeout — many embedded URLs multiply per-request latency via live network round-trips.","Yes","urlguardrail.go:67 (incompleteURLAtEnd regex), 649/522 (FindAllString unbounded), 202-204 (timeout has a minimum but no maximum), 655-666 (sequential validation loop). Cap the incomplete-URL tail buffer length (mirroring pii-masking-regex's maxPlaceholderTailBytes pattern); cap max URLs checked per payload and max configurable timeout; validate concurrently instead of sequentially."
"url-guardrail","Threat Model","Information Disclosure","When showAssessment=true (opt-in, default false), the raw Go error string is placed directly into the client-facing HTTP response body.","Yes, when enabled","urlguardrail.go:382. Sanitize the assessment error text even when showAssessment is enabled."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are rate limits in place where necessary?","N/A","url-guardrail is a content/routing guardrail, not a quota/throttling control by design. A separate advanced-ratelimit policy exists on the platform and can be composed onto the same operation if needed."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are permissions, roles, and entitlements defined on least privilege / business needs?","Partial","Org-level RBAC is enforced server-side for config-apply endpoints, but there is no per-resource ownership check in api-platform's LlmProvider/RestApi update handlers — any user with write scope in an org can silently modify or remove url-guardrail's configuration on a resource a teammate created."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are authN/authZ properly validated at UI and API, front/back end, before granting access?","Partially verified","Confirmed server-side at the management API for LlmProvider/RestApi updates (JWT + org claim enforced, not just client-side). UI-layer (Publisher/DevPortal) enforcement was not checked in this review."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are proper isolations in place between components (least privilege / blast radius)?","N/A","url-guardrail has no independent network/deployment topology of its own — it runs inside gateway-runtime's policy-engine and inherits whatever isolation that component has. Not reviewed at the infra level."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have default credentials been changed; no default superuser/root in use?","No — confirmed finding","The e2e tooling in this repo authenticates to gateway-controller with Authorization: Basic YWRtaW46YWRtaW4= (admin:admin), a literal default credential in active use in the environment exercised for this review. Not confirmed whether production overrides this."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is source code kept private where applicable?","Needs clarification","Source files carry Apache License 2.0 headers, suggesting this is intended as open-source code rather than private/proprietary — confirm the intended posture with the release/product owner."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Was a code review conducted with a security/resiliency focus, and were findings addressed?","Not verifiable from code","This is a PR-history/process record for url-guardrail's own commits — needs confirmation from the team, not determinable from the source alone."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Static (SAST) or IaC scanning conducted, and are findings addressed?","Partial","api-platform/.github/workflows/go-scan.yaml runs gosec daily across gateway-controller, policy-engine, gateway-builder, platform-api, and event-gateway-runtime, uploading SARIF to GitHub code scanning. No equivalent SAST workflow was found in the gateway-controllers (policy hub) repo itself, where this policy's actual source lives — coverage of this specific file is unconfirmed."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Software Composition Analysis (SCA) conducted/integrated, and are findings addressed?","Partial","trivy-scan.yaml (OS/library CVEs in built images) and jfrog-scan.yaml (JFrog Xray docker scan) run daily in api-platform across all major images. dependency-validation.yml (present in both repos) checks changed Go deps against an approved allowlist (governance, not CVE-based). No FOSSA; no dedicated Go-module vulnerability scan distinct from image-level scans found. Remediation-tracking status not verified."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is Dynamic (DAST) or API scanning conducted on non-prod, and are findings addressed?","Not found","No DAST/ZAP/API-scanning workflow was found in either repo's .github/workflows. Either it runs outside these repos or it is a gap."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are audit logs generated in a standardized format for critical functionality, available to authorized users?","Partial","An audit table + AuditRepo.Record(action, resourceUUID, resourceType, orgUUID, performedBy) fires on LlmProvider/RestApi updates, including changes to url-guardrail's own configuration — standardized shape, but minimal (no diff, no payload). Availability to authorized users via a UI/API surface was not checked."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","How long are audit logs retained for?","Not verified","No TTL/cleanup job was found for the audit table in this review; needs confirmation from the data/DB team."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Do audit logs for critical config changes include a diff of old vs new?","No — confirmed","Update handlers fetch the old record only to preserve unrelated fields, then blindly overwrite the configuration column. No diff or version history is persisted, so a change that silently disables or weakens url-guardrail leaves no trace of its prior state."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Has a BIA been conducted (MTTD/RPO/RTO, HA, DR, backups, health checks, banners)?","Not covered — needs infra/SRE input","url-guardrail has no independent database, deployment topology, or backup surface of its own; this whole section applies to the platform as a whole, not to one mediation policy. A health endpoint (/api/admin/v1/health on gateway-controller) does exist, confirming a health-check mechanism, but HA/DR/backup/banner posture was not reviewed."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are data in transit and at rest encrypted?","Partial","Client-facing gateway traffic runs over TLS (confirmed via the dev stack's https endpoint). At-rest encryption for general application/config data was not verified in this review; this policy itself has no independent storage layer."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Is sensitive data (credentials/keys) stored in secret stores like key vaults?","N/A for this policy","url-guardrail does not itself handle LLM-provider credentials. Separately confirmed: platform-api has a real secret vault (vault.SecretVault.Encrypt/Decrypt) used for a dedicated Secret resource, with Decrypt scoped to internal gateway use only."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are all inputs and outputs validated? (Syntactic / Semantic)","Partial","Config params are syntactically type-checked (parseParams). No semantic validation of jsonPath syntax. More importantly, URL ""validation"" here means live reachability probing, not safety classification — no allow/deny domain list exists at all, and there is no check preventing the probe target from being an internal/private-network address (see SSRF finding)."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Has the implementation followed best-practice guidelines (OWASP/K8s/Vendor)?","No — significant gap","Performing live outbound network calls to unsanitized, client-supplied URLs from a security guardrail is a well-known SSRF anti-pattern (OWASP Top 10: SSRF). This is the most significant finding across all six policies reviewed in this batch."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have you ensured personal/sensitive/confidential data is not logged?","Yes, as far as verified","slog.Debug calls log only counts/booleans (urlCount, invalidURLCount, jsonPath, err) — not the actual URLs or content. Invalid URLs do appear in the client-facing response when showAssessment=true, but only echoed back to the same client that submitted them."
"url-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Have users been given proper instructions on secure usage?","No — confirmed gap","Neither the docs nor the schema description mention that this policy causes the gateway to make live outbound network calls to URLs found in inbound client content, nor any warning about the SSRF exposure this creates. This should be documented prominently, alongside guidance on network egress restrictions."
"word-count-guardrail","Threat Model","Detection Bypass (Unicode)","Word counting splits only on ASCII whitespace (\s+ under Go RE2, which matches [\t\n\f\r ] only). Inserting zero-width spaces (U+200B) or non-breaking spaces (U+00A0) between real words prevents the splitter from separating them, collapsing many words into one counted token and bypassing a max-word-count check.","Yes","wordcountguardrail.go:36,52. Use Unicode-aware word segmentation instead of ASCII-only \s+ splitting."
"word-count-guardrail","Threat Model","False Positive / Bypass (Non-Space-Delimited Scripts)","CJK and Thai text has no ASCII whitespace between words at all, so an entire paragraph in these scripts is counted as a single ""word"" — this both blocks legitimate users of these languages on a min-word-count check and trivially bypasses a max-word-count check for adversarial CJK-wrapped content.","Yes","wordcountguardrail.go:36 (same root cause as above). Same mitigation: proper Unicode/script-aware word segmentation."
"word-count-guardrail","Threat Model","Coverage Gap","Default jsonPath scans only the last message (request) / first choice (response) — same class of gap as pii-masking-regex.","Yes","wordcountguardrail.go:37-38,47. Requires a code change to cover all messages/choices."
"word-count-guardrail","Threat Model","Content Skew (Multimodal)","Non-text multimodal parts (e.g. an image_url object) fall through to json.Marshal of the whole object as a single contiguous no-space string — a large base64 image blob is counted as exactly one ""word"", diluting or skewing the count for multimodal payloads.","Yes","wordcountguardrail.go:315-319. Exclude non-text multimodal parts from word-count entirely rather than serializing them as pseudo-text."
"word-count-guardrail","Threat Model","Denial of Service / Algorithmic Complexity","NeedsMoreResponseData re-parses the ENTIRE accumulated SSE buffer from scratch on every incoming chunk (looping over all lines seen so far each time) — O(n²) total work across a long streaming response, in contrast to the O(1)-per-chunk approach already used once past the initial gate.","Yes","wordcountguardrail.go:654-674 vs 729-737 for comparison. Accumulate/count incrementally instead of re-parsing the whole buffer on every chunk."
"word-count-guardrail","Threat Model","Information Disclosure","Raw Go error text returned via showAssessment=true (opt-in, default false).","Yes, when enabled","wordcountguardrail.go:361-362. Sanitize before returning even in assessment mode."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are rate limits in place where necessary?","N/A","word-count-guardrail is a content/routing guardrail, not a quota/throttling control by design. A separate advanced-ratelimit policy exists on the platform and can be composed onto the same operation if needed."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are permissions, roles, and entitlements defined on least privilege / business needs?","Partial","Org-level RBAC is enforced server-side for config-apply endpoints, but there is no per-resource ownership check in api-platform's LlmProvider/RestApi update handlers — any user with write scope in an org can silently modify or remove word-count-guardrail's configuration on a resource a teammate created."
"word-count-guardrail","Security Questionnaire","OWASP Top 10 Proactive / Security Considerations","Are authN/authZ properly validated at UI and API, front/back end, before granting access?","Partially verified","Confirmed server-side at the management API for LlmProvider/RestApi updates (JWT + org claim enforced, not just client-side). UI-layer (Publisher/DevPortal) enforcement was not checked in this review."
